Species,LifeStage,Return.Yr.,Strata,Location.Reach,Disposition,Origin,Sex,Age,Count
Chum,Adult,2021,Coastal,Grays_CJ,Grays_CJ,Natural_spawner,Male,Age-5,1
Chum,Adult,2021,Coastal,Grays_CJ,Grays_CJ,Natural_spawner,Male,Age-6,0
Chum,Adult,2021,Coastal,Grays_CJ,Grays_CJ,Grays_Hatchery,Male,Age-2,0
Chum,Adult,2021,Coastal,Grays_CJ,Grays_CJ,Grays_Hatchery,Male,Age-3,3
Chum,Adult,2021,Coastal,Grays_CJ,Grays_CJ,Grays_Hatchery,Male,Age-4,3
Chum,Adult,2021,Coastal,Grays_CJ,Grays_CJ,Grays_Hatchery,Male,Age-5,0
Chum,Adult,2021,Coastal,Grays_CJ,Grays_CJ,Grays_Hatchery,Male,Age-6,0
Chum,Adult,2021,Coastal,Grays_CJ,Grays_CJ,Big_Creek_Hatchery,Male,Age-2,0
Chum,Adult,2021,Coastal,Grays_CJ,Grays_CJ,Big_Creek_Hatchery,Male,Age-3,0
Chum,Adult,2021,Coastal,Grays_CJ,Grays_CJ,Big_Creek_Hatchery,Male,Age-4,0
Chum,Adult,2021,Coastal,Grays_CJ,Grays_CJ,Big_Creek_Hatchery,Male,Age-5,0
Chum,Adult,2021,Coastal,Grays_CJ,Grays_CJ,Big_Creek_Hatchery,Male,Age-6,0
Chum,Adult,2021,Coastal,Grays_MS,Grays_Hatchery,Natural_spawner,Female,Age-2,0
Chum,Adult,2021,Coastal,Grays_MS,Grays_Hatchery,Natural_spawner,Female,Age-3,53
Chum,Adult,2021,Coastal,Grays_MS,Grays_Hatchery,Natural_spawner,Female,Age-4,27
Chum,Adult,2021,Coastal,Grays_MS,Grays_Hatchery,Natural_spawner,Female,Age-5,0
Chum,Adult,2021,Coastal,Grays_MS,Grays_Hatchery,Natural_spawner,Female,Age-6,0
Chum,Adult,2021,Coastal,Grays_MS,Grays_Hatchery,Grays_Hatchery,Female,Age-2,0
Chum,Adult,2021,Coastal,Grays_MS,Grays_Hatchery,Grays_Hatchery,Female,Age-3,5
Chum,Adult,2021,Coastal,Grays_MS,Grays_Hatchery,Grays_Hatchery,Female,Age-4,6
Chum,Adult,2021,Coastal,Grays_MS,Grays_Hatchery,Grays_Hatchery,Female,Age-5,0
Chum,Adult,2021,Coastal,Grays_MS,Grays_Hatchery,Grays_Hatchery,Female,Age-6,0
Chum,Adult,2021,Coastal,Grays_MS,Grays_Hatchery,Big_Creek_Hatchery,Female,Age-2,0
Chum,Adult,2021,Coastal,Grays_MS,Grays_Hatchery,Big_Creek_Hatchery,Female,Age-3,0
Chum,Adult,2021,Coastal,Grays_MS,Grays_Hatchery,Big_Creek_Hatchery,Female,Age-4,0
Chum,Adult,2021,Coastal,Grays_MS,Grays_Hatchery,Big_Creek_Hatchery,Female,Age-5,0
Chum,Adult,2021,Coastal,Grays_MS,Grays_Hatchery,Big_Creek_Hatchery,Female,Age-6,0
Chum,Adult,2021,Coastal,Grays_MS,Grays_Hatchery,Natural_spawner,Male,Age-2,0
